algorithm,file_name,number_of_nodes,number_of_leaf_nodes,time_taken
2_Approximation,complete_grid_graph_1.txt,10,5,0.0
2_Approximation,complete_grid_graph_2.txt,20,10,0.0
2_Approximation,complete_grid_graph_3.txt,30,16,0.0
2_Approximation,complete_grid_graph_4.txt,40,22,0.0
2_Approximation,complete_grid_graph_5.txt,50,28,0.0
2_Approximation,complete_grid_graph_6.txt,60,34,0.0
2_Approximation,complete_grid_graph_7.txt,70,40,0.0
2_Approximation,complete_grid_graph_8.txt,80,46,0.0
2_Approximation,complete_grid_graph_9.txt,90,52,0.0
2_Approximation,complete_grid_graph_10.txt,100,58,0.0
2_Approximation,incomplete_grid_graph_1.txt,10,3,0.0
2_Approximation,incomplete_grid_graph_2.txt,20,8,0.0
2_Approximation,incomplete_grid_graph_3.txt,30,15,0.0
2_Approximation,incomplete_grid_graph_4.txt,40,17,0.0
2_Approximation,incomplete_grid_graph_5.txt,50,20,0.0
2_Approximation,incomplete_grid_graph_6.txt,60,27,0.0
2_Approximation,incomplete_grid_graph_7.txt,70,29,0.0
2_Approximation,incomplete_grid_graph_8.txt,80,38,0.0
2_Approximation,incomplete_grid_graph_9.txt,90,41,0.0
2_Approximation,incomplete_grid_graph_10.txt,100,41,0.0
2_Approximation,random_d_regular_graph_1.txt,10,5,0.0
2_Approximation,random_d_regular_graph_2.txt,20,10,0.0
2_Approximation,random_d_regular_graph_3.txt,30,14,0.0
2_Approximation,random_d_regular_graph_4.txt,40,19,0.0
2_Approximation,random_d_regular_graph_5.txt,50,23,0.0
2_Approximation,random_d_regular_graph_6.txt,60,28,0.0
2_Approximation,random_d_regular_graph_7.txt,70,34,0.0
2_Approximation,random_d_regular_graph_8.txt,80,38,0.0
2_Approximation,random_d_regular_graph_9.txt,90,42,0.0
2_Approximation,random_d_regular_graph_10.txt,100,47,0.0
2_Approximation,random_graph_1.txt,10,5,0.0
2_Approximation,random_graph_2.txt,20,13,0.0
2_Approximation,random_graph_3.txt,30,20,0.0
2_Approximation,random_graph_4.txt,40,22,0.0
2_Approximation,random_graph_5.txt,50,36,0.0
2_Approximation,random_graph_6.txt,60,44,0.0
2_Approximation,random_graph_7.txt,70,51,0.0
2_Approximation,random_graph_8.txt,80,58,0.0
2_Approximation,random_graph_9.txt,90,69,0.0
2_Approximation,random_graph_10.txt,100,78,0.0
2_Approximation,scale_free_graph_1.txt,100,70,0.0
2_Approximation,scale_free_graph_2.txt,100,71,0.0
2_Approximation,scale_free_graph_3.txt,100,73,0.0
2_Approximation,scale_free_graph_4.txt,100,72,0.0
2_Approximation,scale_free_graph_5.txt,100,68,0.0
2_Approximation,scale_free_graph_6.txt,100,66,0.0
2_Approximation,scale_free_graph_7.txt,100,73,0.0
2_Approximation,scale_free_graph_8.txt,100,76,0.0
2_Approximation,scale_free_graph_9.txt,100,70,0.0
2_Approximation,scale_free_graph_10.txt,100,75,0.0
Priority-BFS,complete_grid_graph_1.txt,10,5,6.747245788574219e-05
Priority-BFS,complete_grid_graph_2.txt,20,10,4.57763671875e-05
Priority-BFS,complete_grid_graph_3.txt,30,14,4.172325134277344e-05
Priority-BFS,complete_grid_graph_4.txt,40,18,4.982948303222656e-05
Priority-BFS,complete_grid_graph_5.txt,50,22,6.198883056640625e-05
Priority-BFS,complete_grid_graph_6.txt,60,26,7.224082946777344e-05
Priority-BFS,complete_grid_graph_7.txt,70,30,0.00011229515075683594
Priority-BFS,complete_grid_graph_8.txt,80,34,0.00013637542724609375
Priority-BFS,complete_grid_graph_9.txt,90,38,0.0001361370086669922
Priority-BFS,complete_grid_graph_10.txt,100,42,0.0001442432403564453
Priority-BFS,incomplete_grid_graph_1.txt,10,3,1.52587890625e-05
Priority-BFS,incomplete_grid_graph_2.txt,20,8,2.3126602172851562e-05
Priority-BFS,incomplete_grid_graph_3.txt,30,14,3.361701965332031e-05
Priority-BFS,incomplete_grid_graph_4.txt,40,18,4.363059997558594e-05
Priority-BFS,incomplete_grid_graph_5.txt,50,20,5.269050598144531e-05
Priority-BFS,incomplete_grid_graph_6.txt,60,26,7.43865966796875e-05
Priority-BFS,incomplete_grid_graph_7.txt,70,23,6.580352783203125e-05
Priority-BFS,incomplete_grid_graph_8.txt,80,31,9.226799011230469e-05
Priority-BFS,incomplete_grid_graph_9.txt,90,35,0.00010228157043457031
Priority-BFS,incomplete_grid_graph_10.txt,100,36,0.00011873245239257812
Priority-BFS,random_d_regular_graph_1.txt,10,5,1.7642974853515625e-05
Priority-BFS,random_d_regular_graph_2.txt,20,8,2.3365020751953125e-05
Priority-BFS,random_d_regular_graph_3.txt,30,10,3.457069396972656e-05
Priority-BFS,random_d_regular_graph_4.txt,40,15,4.4345855712890625e-05
Priority-BFS,random_d_regular_graph_5.txt,50,17,5.3882598876953125e-05
Priority-BFS,random_d_regular_graph_6.txt,60,24,6.556510925292969e-05
Priority-BFS,random_d_regular_graph_7.txt,70,25,7.82012939453125e-05
Priority-BFS,random_d_regular_graph_8.txt,80,29,0.00010013580322265625
Priority-BFS,random_d_regular_graph_9.txt,90,34,8.177757263183594e-05
Priority-BFS,random_d_regular_graph_10.txt,100,38,8.916854858398438e-05
Priority-BFS,random_graph_1.txt,10,6,1.2874603271484375e-05
Priority-BFS,random_graph_2.txt,20,13,1.9550323486328125e-05
Priority-BFS,random_graph_3.txt,30,19,2.9087066650390625e-05
Priority-BFS,random_graph_4.txt,40,23,3.552436828613281e-05
Priority-BFS,random_graph_5.txt,50,33,4.506111145019531e-05
Priority-BFS,random_graph_6.txt,60,43,5.841255187988281e-05
Priority-BFS,random_graph_7.txt,70,54,7.867813110351562e-05
Priority-BFS,random_graph_8.txt,80,59,0.00010704994201660156
Priority-BFS,random_graph_9.txt,90,70,0.00011372566223144531
Priority-BFS,random_graph_10.txt,100,80,0.00015234947204589844
